SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
55889330,0.055808159,40.30737079,GARISSA,0.055949686,40.30742456,GARISSA,
55889885,0.055544952,40.31071827,GARISSA,0.055544952,40.31071827,GARISSA,
55889886,0.055536518,40.31095658,GARISSA,0.055536518,40.31095658,GARISSA,
55885845,0.0552684,40.3114248,GARISSA,0.0552684,40.3114248,GARISSA,
55889889,0.054151683,40.31161496,GARISSA,0.054151683,40.31161496,GARISSA,
55889887,0.055248966,40.31167092,GARISSA,0.055248966,40.31167092,GARISSA,
55889888,0.054874196,40.31178533,GARISSA,0.054874196,40.31178533,GARISSA,
55885846,0.0527255,40.3121048,GARISSA,0.0527255,40.3121048,GARISSA,
55889890,0.052852308,40.31473742,GARISSA,0.052852308,40.31473742,GARISSA,
55865362,-0.475705829,34.28902982,HOMABAY,-0.475705829,34.28902982,HOMABAY,
55865358,-0.475926198,34.28924342,HOMABAY,-0.475882102,34.28919376,HOMABAY,
55865359,-0.48020862,34.29249061,HOMABAY,-0.48020862,34.29249061,HOMABAY,
55865360,-0.491478863,34.3037927,HOMABAY,-0.491478863,34.3037927,HOMABAY,
56117540,-0.493754689,34.30504299,HOMABAY,-0.493754689,34.30504299,HOMABAY,
55865361,-0.494907912,34.30549791,HOMABAY,-0.494907912,34.30549791,HOMABAY,
56117537,-0.494773602,34.30608769,HOMABAY,-0.494773602,34.30608769,HOMABAY,
56117539,-0.502752674,34.30842387,HOMABAY,-0.502752674,34.30842387,HOMABAY,
56117538,-0.501970269,34.30850966,HOMABAY,-0.501970269,34.30850966,HOMABAY,
55785052,-0.497373867,34.31110598,HOMABAY,-0.497373867,34.31110598,HOMABAY,
55785051,-0.498499547,34.31115853,HOMABAY,-0.498499547,34.31115853,HOMABAY,
55791418,-0.499347719,34.31147907,HOMABAY,-0.499419954,34.31134236,HOMABAY,
55785053,-0.49687425,34.31185774,HOMABAY,-0.49687425,34.31185774,HOMABAY,
55785054,-0.495317508,34.31255755,HOMABAY,-0.495317508,34.31255755,HOMABAY,
55791420,-0.499521643,34.31257323,HOMABAY,-0.499521643,34.31257323,HOMABAY,
55791423,-0.495626179,34.31272708,HOMABAY,-0.495626179,34.31272708,HOMABAY,
55791419,-0.499459384,34.31296943,HOMABAY,-0.499459384,34.31296943,HOMABAY,
